x,levels
37.5525554849,24.5801694648
81.1452676758,19.1870011987
0.273642854363,50.1612675003
43.3104345016,26.1106805411
67.2532639752,26.7461859472
65.8618506026,27.7799984676
62.9938035967,22.3250774611
40.2922825847,27.5369909987
66.5602697067,29.7442822383
16.8454653432,22.0778704091
18.6019324786,16.0973606247
31.2748583192,24.7252822626
71.2981298465,26.4906529742
64.9966482847,26.5244173516
68.181092578,28.7611709804
82.0612707258,21.7091449835
18.3130240315,13.9311475368
6.45697435102,29.7294435587
34.3994617723,15.4418619608
33.2847644935,19.7361941259
107.319050955,76.3286800015
91.9406766301,38.4504496848
5.7909997952,31.8455749163
51.5833417733,30.1425032399
21.378926524,14.6938905871
78.7014511928,21.3971042289
71.5838235572,35.2870919645
10.8277714586,30.8222164155
20.9383319417,18.7846548491
98.0030085936,35.8376172419
90.0058755616,25.4576372126
49.5769333213,24.6140652786
50.2773628208,26.901759741
50.6681991577,29.80061578
45.195600681,29.2687122421
57.382661622,28.545229194
68.5065943744,26.7682891069
79.8548574528,17.106205314
18.9772834973,9.32273784931
14.64309342,13.6956446379
74.1794085034,18.1448197621
27.4520126982,14.5899702689
40.2790396795,26.719179511
54.1475729584,40.3917991872
89.3651899515,27.6746035191
50.7738861671,30.2448090268
62.9039451149,31.5379818544
70.5600692342,18.6533952033
50.5564726164,32.5876999097
24.5950265141,19.1761415475
18.5272489033,18.9012344956
7.88992138987,28.6637354436
2.44399396835,38.5815457422
55.3363271807,30.0657911471
46.7935572971,17.3015592843
62.4471084255,29.4300555007
82.6139529421,20.5860593064
59.0700740942,18.6629572561
7.26858891984,30.3997192448
89.2760106412,22.6506345188
8.16909357183,32.8698824125
47.0387812042,20.7351634453
3.4439721585,41.7162979471
79.9055138947,20.9673081357
60.8676686604,27.9129637417
91.7255789123,23.8379701974
33.6235217217,22.7798545289
85.5822757987,27.8815415902
5.04454396045,38.8813345114
18.4716303387,12.435082348
78.7097052402,19.4508987322
91.9933942063,32.6008308849
100.680783112,44.0956758689
97.1194939943,27.4573807863
108.491855926,73.0837383866
39.6889544196,17.8329107616
7.73438320754,28.179583235
76.2491108969,21.224853234
62.3735483753,31.0599846894
107.790719672,70.2055445779
97.2185167568,41.2844774601
61.2609370844,22.8646398297
53.5663479918,21.8660835582
26.4236704501,23.2803214774
85.3531668742,25.4146051354
69.0571933818,23.2468268408
42.1031506991,20.1547444855
9.85800571328,39.3261205886
64.6969281823,27.8691385673
40.2259700082,29.5362947929
40.7159498185,38.7747288722
70.9345647177,20.6415131227
25.4856777282,22.5062780522
19.4831354126,16.6655255345
98.745921293,30.40285595
91.6330450116,24.3877115344
39.7094969592,31.2984859786
98.0915585862,33.243125552
