caseID,boarded,budget,memberCount,preferredClass,sex,age
111131089,0,2201,0,FIRST_AC,female,2
2489059216,0,1775,3,FIRST_AC,male,0
1565109576,1,1775,3,FIRST_AC,female,0
1373075087,1,1775,3,FIRST_AC,male,3
1598041082,1,1775,3,FIRST_AC,female,2
3825576434,0,852,0,FIRST_AC,male,4
644658844,0,1207,1,FIRST_AC,female,6
688816386,1,710,0,FIRST_AC,male,3
4255374887,0,1065,2,FIRST_AC,female,5
2728642656,1,994,0,FIRST_AC,male,7
405893896,1,2272,1,FIRST_AC,male,4
2034441712,0,2272,1,FIRST_AC,female,1
751662760,0,1136,0,FIRST_AC,female,2
1680934258,0,1207,0,FIRST_AC,female,2
960078707,0,923,0,FIRST_AC,male,8
3227368300,1,852,0,FIRST_AC,male,0
1014277769,1,2414,1,FIRST_AC,male,2
2248693767,0,2414,1,FIRST_AC,female,5
483498626,0,1207,0,FIRST_AC,female,3
2106429192,1,1207,0,FIRST_AC,male,3
43617165,0,1065,2,FIRST_AC,male,3
2071717196,0,1065,2,FIRST_AC,female,4
694475358,0,923,0,FIRST_AC,male,2
1229420300,0,2272,0,FIRST_AC,female,4
4022477925,0,2272,0,FIRST_AC,female,2
249813391,1,852,0,FIRST_AC,male,2
420123847,0,1349,1,FIRST_AC,male,2
3918871116,0,1349,1,FIRST_AC,female,1
3442159725,0,1633,0,FIRST_AC,female,3
1461749673,0,852,0,FIRST_AC,male,2
2096098264,1,923,0,FIRST_AC,male,4
807101454,0,923,0,FIRST_AC,male,4
3820192239,0,1846,0,FIRST_AC,female,3
1238282549,0,852,0,FIRST_AC,female,5
3095411035,1,852,0,FIRST_AC,male,4
3378049172,0,2556,0,FIRST_AC,female,4
2192339981,0,1065,1,FIRST_AC,female,2
1615186814,0,852,0,FIRST_AC,male,0
35224062,1,923,0,FIRST_AC,male,4
3145420116,1,1065,0,FIRST_AC,male,4
2971403894,1,923,0,FIRST_AC,male,0
172444479,0,852,0,FIRST_AC,female,4
541985474,0,1065,2,FIRST_AC,female,5
1647741975,0,1207,0,FIRST_AC,female,6
2835020383,0,1633,0,FIRST_AC,female,4
4144594636,1,852,0,FIRST_AC,male,4
290300466,1,923,0,FIRST_AC,male,0
4065572238,0,852,0,FIRST_AC,male,4
1102137377,0,852,0,FIRST_AC,female,5
457799785,0,4331,1,FIRST_AC,male,3
2812168921,0,4331,1,FIRST_AC,female,5
3515881329,1,710,0,FIRST_AC,male,3
4013452445,1,994,0,FIRST_AC,male,2
1722390038,1,994,0,FIRST_AC,male,1
3126678759,0,1562,3,FIRST_AC,male,1
1018189574,0,1562,3,FIRST_AC,female,1
2752761266,0,1562,3,FIRST_AC,male,3
135763329,0,1562,3,FIRST_AC,female,3
751374652,1,852,0,FIRST_AC,male,4
2450408484,0,852,0,FIRST_AC,female,0
3924676625,1,1207,1,FIRST_AC,male,3
1655713022,0,1207,1,FIRST_AC,female,7
2074959821,1,1136,1,FIRST_AC,male,4
2958239824,0,1136,1,FIRST_AC,female,4
1002840461,0,1065,1,FIRST_AC,male,2
1335938436,0,1065,1,FIRST_AC,female,3
1473251508,0,2556,0,FIRST_AC,female,3
2779170466,0,1278,0,FIRST_AC,female,3
1593971655,0,852,0,FIRST_AC,male,4
3343731831,0,1065,1,FIRST_AC,female,0
4227583555,1,710,0,FIRST_AC,male,0
4135916145,1,1633,1,FIRST_AC,male,2
864792900,0,1633,1,FIRST_AC,female,2
3310596408,0,1775,0,FIRST_AC,female,2
3476191610,1,1065,0,FIRST_AC,male,0
3743723392,1,852,0,FIRST_AC,male,4
287921891,0,1278,2,FIRST_AC,female,3
3594276050,1,1278,2,FIRST_AC,male,3
239633001,0,1278,2,FIRST_AC,female,6
3886928609,0,852,2,FIRST_AC,female,5
2432055747,1,852,0,FIRST_AC,male,0
3044606368,1,1207,2,FIRST_AC,male,7
3667647485,0,1207,2,FIRST_AC,female,3
1916252772,0,852,2,FIRST_AC,female,6
3650633887,1,1207,1,FIRST_AC,male,3
3826302661,0,1207,1,FIRST_AC,female,3
2132111592,0,852,0,FIRST_AC,male,5
537814143,0,923,0,FIRST_AC,male,2
248900860,0,1775,0,FIRST_AC,female,3
3954774396,1,1065,1,FIRST_AC,male,3
2701154349,0,1065,3,FIRST_AC,female,2
3972371824,0,1065,1,FIRST_AC,male,3
3544689437,0,1065,1,FIRST_AC,female,1
4077850127,0,1278,2,FIRST_AC,male,5
1179420194,0,1278,2,FIRST_AC,male,0
1876243408,0,1278,2,FIRST_AC,female,5
1464721018,1,1420,1,FIRST_AC,male,5
799062744,0,2414,2,FIRST_AC,female,2
1622540249,0,1420,1,FIRST_AC,female,4
3825131499,0,923,1,FIRST_AC,female,4
2553228374,0,1065,1,FIRST_AC,male,4
2168191447,1,852,0,FIRST_AC,male,3
2148596975,0,1278,1,FIRST_AC,female,2
2771172806,0,2272,0,FIRST_AC,female,3
2247092921,0,1207,1,FIRST_AC,female,5
4145903794,1,923,0,FIRST_AC,female,3
3544566363,1,2272,0,FIRST_AC,male,0
2364397973,0,923,0,FIRST_AC,female,0
1273360416,0,1491,0,FIRST_AC,female,0
1531525523,0,852,0,FIRST_AC,male,3
969184426,1,852,0,FIRST_AC,male,3
3371811437,0,2556,5,FIRST_AC,female,2
3675461550,0,2556,5,FIRST_AC,female,2
1126750372,0,2556,5,FIRST_AC,female,2
3789178439,1,2556,5,FIRST_AC,male,1
2805915913,1,2556,5,FIRST_AC,male,6
632953662,0,2556,5,FIRST_AC,female,6
2031508174,0,1065,0,FIRST_AC,female,3
3131813545,1,852,0,FIRST_AC,male,0
2012826839,0,1633,2,FIRST_AC,male,5
2904475365,0,852,1,FIRST_AC,male,4
2358118925,0,1633,1,FIRST_AC,female,0
2555563590,0,994,2,FIRST_AC,female,2
3025292935,0,1207,2,FIRST_AC,male,6
883416609,0,1207,2,FIRST_AC,female,4
3905774710,1,710,0,FIRST_AC,male,0
1306285616,1,1065,1,FIRST_AC,male,3
2247143090,0,1065,1,FIRST_AC,female,3
